t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
50,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5552866,0,0,9.99561,0,0,0,0,0,44040989,930.146,2289.94,0.0269094,0.00144745,0.558369,227.018,2.46192,9.99561,4.09724,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
51,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5595520,0,0,9.99605,0,0,0,0,0,44238556,926.018,2289.51,0.0291161,0.00126528,0.535794,226.013,2.47243,9.99605,4.09719,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
52,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5452020,0,0,9.99581,0,0,0,0,0,44201566,926.76,2289.95,0.0349535,0.00143407,0.533757,226.197,2.47092,9.99581,4.09713,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
53,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5410597,0,0,9.9957,0,0,0,0,0,44444059,921.712,2289.76,0.0268622,0.0012912,0.502735,224.961,2.48424,9.9957,4.0972,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
54,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5405074,0,0,9.99569,0,0,0,0,0,43347627,945.011,2289.01,0.0536882,0.00148206,0.529506,230.651,2.42221,9.99569,4.09715,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
55,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5550640,0,0,9.99566,0,0,0,0,0,44394142,922.702,2290.27,0.0283852,0.00114551,0.481166,225.212,2.48213,9.99566,4.09704,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
56,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5584157,0,0,9.99585,0,0,0,0,0,44368171,923.458,2290.6,0.0230806,0.000835892,0.473398,225.349,2.48046,9.99585,4.0979,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
57,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5588693,0,0,9.9955,0,0,0,0,0,44414185,922.354,2290.07,0.0254511,0.000933508,0.484357,225.107,2.48286,9.9955,4.0974,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
58,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5610508,0,0,9.99624,0,0,0,0,0,44287265,925.111,2290.54,0.0264521,0.000998707,0.513328,225.769,2.47596,9.99624,4.09759,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
59,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5566306,0,0,9.99607,0,0,0,0,0,44301768,924.85,2288.33,0.0267895,0.00105061,0.511981,225.693,2.47428,9.99607,4.09783,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
