t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
32,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9879439,0,0,90.6924,9.21904,0,0,0,10140,0,9.99535,-nan,0,0,0,0,46604856,878.886,2173.15,0.0281998,0.00109291,0.54726,214.524,2.47262,9.99535,4.09692,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
33,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9945756,0,0,90.6924,9.21904,0,0,0,10223,1,9.99589,-nan,0,0,0,0,46404344,882.76,2176.19,0.0324624,0.00113196,0.556911,215.462,2.46521,9.99589,4.09705,0,0,0,0,0,0,0,0,0,0,0,contention,0,11,0,0,0,0,0,0,0,0
34,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9856259,0,0,90.6924,9.21904,0,0,0,10151,0,9.99582,-nan,0,0,0,0,46487278,881.153,2176.83,0.0278779,0.0010245,0.552524,215.076,2.47043,9.99582,4.09694,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
35,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9850021,0,0,90.6924,9.21904,0,0,0,9852,0,9.99574,-nan,0,0,0,0,46630338,878.477,2176.89,0.0240104,0.000970849,0.518355,214.416,2.47803,9.99574,4.09707,0,0,0,0,0,0,0,0,0,0,0,contention,0,2,0,0,0,0,0,0,0,0
36,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9700071,0,0,90.6924,9.21904,0,0,0,9897,0,9.9954,-nan,0,0,0,0,45697116,896.352,2173.8,0.0520371,0.00139326,0.56934,218.787,2.42516,9.9954,4.09692,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
37,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9903963,0,0,90.6924,9.21904,0,0,0,10243,0,9.99607,-nan,0,0,0,0,46466571,881.482,2177.58,0.0295495,0.00108639,0.567157,215.178,2.47037,9.99607,4.09653,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
38,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9856569,0,0,90.6924,9.21904,0,0,0,9878,0,9.99571,-nan,0,0,0,0,46271730,885.245,2177.16,0.0315281,0.00124115,0.607614,216.078,2.45939,9.99571,4.09688,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
39,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9893105,0,0,90.6924,9.21904,0,0,0,10213,0,9.9957,-nan,0,0,0,0,46429926,882.203,2175.92,0.030533,0.00114715,0.564694,215.338,2.46647,9.9957,4.09684,0,0,0,0,0,0,0,0,0,0,0,contention,0,6,0,0,0,0,0,0,0,0
40,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9854706,0,0,90.6924,9.21904,0,0,0,10039,0,9.99543,-nan,0,0,0,0,46277882,885.175,2175.64,0.0323746,0.00120725,0.598173,216.042,2.45787,9.99543,4.09723,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
41,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9847171,0,0,90.6924,9.21904,0,0,0,10323,0,9.99592,-nan,0,0,0,0,45915765,892.053,2177.02,0.0471779,0.00137587,0.571579,217.757,2.44046,9.99592,4.09656,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
