t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
38,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2743240,0,119.923,0,0,0,0,0,7114020,56690.7,6563.56,27.7184,13.3605,16960.6,0.115778,119.923,3.34249,0,latest,0,14174552,0,0,0,0,0
39,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2746062,0,119.918,0,0,0,0,0,6409572,62924.9,6990.8,29.1241,13.6338,18823.4,0.111098,119.918,3.34292,0,latest,0,14193913,0,0,0,0,0
40,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2741387,0,119.925,0,0,0,0,0,5551726,72630.8,7820.23,31.0776,14.7481,21724,0.107671,119.925,3.34335,0,latest,0,14130804,0,0,0,0,0
41,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2751580,0,119.916,0,0,0,0,0,5146925,78328.5,8361.43,32.4445,15.5314,23441.9,0.106748,119.916,3.34139,0,latest,0,14114959,0,0,0,0,0
42,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2749844,0,119.922,0,0,0,0,0,5272363,76485.7,8320.52,31.8523,15.2342,22878.5,0.108785,119.922,3.34313,0,latest,0,14112941,0,0,0,0,0
43,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2750246,0,119.926,0,0,0,0,0,5054932,79770.2,8594.56,32.5031,15.5855,23861.8,0.107742,119.926,3.343,0,latest,0,14160864,0,0,0,0,0
44,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2749725,0,119.925,0,0,0,0,0,4824839,83581.8,8842.65,33.1906,16.0524,25007,0.105796,119.925,3.34233,0,latest,0,14142274,0,0,0,0,0
45,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2782576,0,119.922,0,0,0,0,0,4873569,82744.3,8779.93,33.4295,16.0847,25050.6,0.106109,119.922,3.30309,0,latest,0,14332622,0,0,0,0,0
46,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2767264,0,119.923,0,0,0,0,0,5210765,77407.8,8334.73,32.4084,15.3354,23152.2,0.107673,119.923,3.34343,0,latest,0,14305181,0,0,0,0,0
47,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2751582,0,119.919,0,0,0,0,0,5210778,77395,8348.34,32.4197,15.3919,23157.1,0.107867,119.919,3.34217,0,latest,0,14220833,0,0,0,0,0
