t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
33,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.9691,10.7111,71.3198,34.9929,2.49064,0.525448,30929,6533,6533,1.00708,1.41212,89.6341,2910252,6255,118.005,30.3476,345,89.6497,0,89.6341,10674704,36911.4,4966.13,26.0805,11.4047,11120.2,0.134542,118.005,3.31931,0,latest,5745,13411319,0,0,0,0,0
34,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.4117,8.95017,74.6381,37.2475,2.14414,0.375095,35963,8024,8024,1.00708,1.43383,107.327,2941155,7813,117.539,31.6093,440,107.358,0,107.327,12638339,31063.7,4352,24.8011,10.57,9356.74,0.140099,117.539,3.31993,0,latest,6879,13055314,0,0,0,0,0
35,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.2639,9.36968,73.3664,35.8744,2.38883,0.474377,38117,7780,7780,1.00708,1.49284,104.799,2872185,7935,117.575,31.8319,449,104.799,0,104.799,11540237,34006.3,4636.78,25.5926,11.0317,10287.1,0.136351,117.575,3.30573,0,latest,6717,13258524,0,0,0,0,0
36,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.4478,9.82967,74.7225,37.9143,1.98765,0.334842,33517,7084,7084,1.00708,1.40441,106.438,2888007,7002,117.473,31.0677,344,106.469,0,106.438,10869737,36070.4,4882.29,25.7969,11.4026,10871,0.135354,117.473,3.31804,0,latest,6822,13268612,0,0,0,0,0
37,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.29,9.9601,73.7499,38.0328,1.73429,0.36735,34729,7045,7045,1.00708,1.39953,97.7472,2921512,6978,117.899,30.0236,332,97.7628,0,97.7472,9359447,42082.5,5415.84,26.7548,12.0198,12670.6,0.128696,117.899,3.32127,0,latest,6265,13400938,0,0,0,0,0
38,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.1353,10.2235,73.6412,36.6011,2.29986,0.428185,34727,7206,7206,1.00708,1.32651,109.87,2896443,7311,117.411,31.0775,384,109.917,0,109.87,10597627,36995,4990.02,25.6882,11.4319,11146,0.134884,117.411,3.31912,0,latest,7042,13257552,0,0,0,0,0
39,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.1365,9.26421,74.5993,37.4155,1.9864,0.365095,38226,8128,8128,1.00708,1.39449,108.435,2890848,8171,117.427,31.5372,366,108.435,0,108.435,12351735,31736.7,4505.6,24.5748,10.7694,9562.24,0.141968,117.427,3.31896,0,latest,6950,13193114,0,0,0,0,0
40,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,20.7549,8.92726,70.3178,34.6809,1.85404,0.352751,34949,7109,7109,1.00708,1.35279,104.565,2886728,7220,117.635,30.2449,367,104.612,0,104.565,9806858,40083.9,5297.78,26.3467,11.7811,12065.3,0.132167,117.635,3.32226,0,latest,6702,13393414,0,0,0,0,0
41,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.7666,9.94004,73.2934,36.6277,2.2833,0.407056,36020,7127,7127,1.00708,1.34414,105.72,2672074,7482,117.619,31.1011,350,105.72,0,105.72,8369747,46910.3,5880.82,28.0393,12.6303,14135.7,0.125363,117.619,3.31856,0,latest,6776,13417321,0,0,0,0,0
42,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.3267,9.71814,72.9552,35.1827,2.39812,0.432448,36133,7047,7047,1.00708,1.33076,106.828,2670535,7495,117.51,32.2054,435,106.843,0,106.828,10946614,35836.8,4865.3,25.7277,11.3179,10803.1,0.135763,117.51,3.31727,0,latest,6847,13310731,0,0,0,0,0
43,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.324,8.8966,74.7794,37.6295,2.03369,0.436051,38681,7443,7443,1.00708,1.33721,104.519,2885620,7589,117.605,31.7134,350,104.55,0,104.519,11118524,35314.5,4805.54,25.416,11.2901,10639.5,0.136078,117.605,3.31919,0,latest,6699,13329007,0,0,0,0,0
