t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
59,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2894437,0,119.926,0,0,0,0,0,5115534,78843.3,8775.58,32.8691,15.5698,23592.8,0.111304,119.926,3.34183,0,latest,0,13808584,0,0,0,0,0
0,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,18481361,0,1.8248,0,0,0,288552,0,329,967.389,489.83,32.8967,10.9666,3733.26,0.506342,1.8248,0.259127,0,latest,0,0,0,0,0,0,0
1,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2863617,0,119.354,0,0,0,0,0,4672622,47705.3,7175.27,30.6217,13.4866,25755.8,0.150408,119.354,1.85222,0,latest,0,9711757,0,0,0,0,0
2,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877233,0,119.903,0,0,0,0,0,4812804,49269.9,7259.3,29.9178,13.5126,25094.8,0.147338,119.903,1.96335,0,latest,0,10224759,0,0,0,0,0
3,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2879218,0,119.929,0,0,0,0,0,5981876,62210.1,7882.11,31.3035,14.323,20174.8,0.126702,119.929,3.08355,0,latest,0,14218856,0,0,0,0,0
4,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2863470,0,119.929,0,0,0,0,0,6138381,65712.7,8051.23,31.6835,14.5342,19660.3,0.122522,119.929,3.3424,0,latest,0,14965425,0,0,0,0,0
5,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2888385,0,119.926,0,0,0,0,0,6179520,65267.5,7994.21,31.4485,14.4137,19529,0.122484,119.926,3.34208,0,latest,0,15071612,0,0,0,0,0
6,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2889222,0,119.925,0,0,0,0,0,6198401,65094.1,7979.83,31.423,14.4169,19473.9,0.122589,119.925,3.34264,0,latest,0,15069427,0,0,0,0,0
7,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2868449,0,119.927,0,0,0,0,0,6136668,65736.5,8048.49,31.6499,14.5074,19668.5,0.122436,119.927,3.34222,0,latest,0,14952426,0,0,0,0,0
8,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2881021,0,119.928,0,0,0,0,0,6171169,65353.7,8005.26,31.498,14.4499,19550.8,0.122491,119.928,3.34277,0,latest,0,15007688,0,0,0,0,0
9,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2883684,0,119.924,0,0,0,0,0,6187317,65184.6,7987.75,31.4463,14.4169,19497.9,0.12254,119.924,3.34316,0,latest,0,15063715,0,0,0,0,0
10,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2879047,0,119.926,0,0,0,0,0,6117291,65968.3,8057.77,31.8186,14.6239,19732.7,0.122146,119.926,3.3431,0,latest,0,15020227,0,0,0,0,0
11,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2868888,0,119.926,0,0,0,0,0,5736634,70317.4,8393.77,33.658,15.6148,21039.3,0.11937,119.926,3.34218,0,latest,0,15047453,0,0,0,0,0
12,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2867358,0,119.927,0,0,0,0,0,5744979,70214.1,8386.38,33.6293,15.61,21010.5,0.11944,119.927,3.34187,0,latest,0,15044406,0,0,0,0,0
13,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2867222,0,119.922,0,0,0,0,0,5735020,70333.1,8396.07,33.6642,15.6229,21050.8,0.119376,119.922,3.34111,0,latest,0,15046251,0,0,0,0,0
14,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2869171,0,119.928,0,0,0,0,0,5740201,70299.6,8390.82,33.6379,15.6116,21026.9,0.119358,119.928,3.34332,0,latest,0,15042615,0,0,0,0,0
15,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2865450,0,119.926,0,0,0,0,0,5722736,70510.9,8409.45,33.6704,15.6327,21090.5,0.119264,119.926,3.34325,0,latest,0,15037929,0,0,0,0,0
16,120,1,1,4,6,200,4,0.8,0,0,1,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2872196,0,119.918,0,0,0,0,0,5747050,70196.9,8385.02,33.6184,15.5812,21005.3,0.11945,119.918,3.34187,0,latest,0,15055944,0,0,0,0,0
