t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
1,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,19.97,1308854,nan,nan,nan,nan,nan,nan,0,0,0,74.26,0.00,0,0.00,0,0,0,nan,0,0.00,114354,0.00,1731304
2,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,21.78,1427224,nan,nan,nan,nan,nan,nan,0,0,0,71.93,0.00,0,0.00,0,0,0,nan,0,0.00,121281,0.00,1812259
3,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,23.61,1547264,nan,nan,nan,nan,nan,nan,0,0,0,69.57,0.00,0,0.00,0,0,0,nan,0,0.00,122984,0.00,1837356
4,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,25.42,1666190,nan,nan,nan,nan,nan,nan,0,0,0,67.23,0.00,0,0.00,0,0,0,nan,0,0.00,121875,0.00,1823971
5,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,27.32,1790149,nan,nan,nan,nan,nan,nan,0,0,0,64.79,0.00,0,0.00,0,0,0,nan,0,0.00,127017,0.00,1883826
6,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,29.09,1906661,nan,nan,nan,nan,nan,nan,0,0,0,62.50,0.00,0,0.00,0,0,0,nan,0,0.00,119370,0.00,1781999
7,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,30.77,2016443,nan,nan,nan,nan,nan,nan,0,0,0,60.34,0.00,0,0.00,0,0,0,nan,0,0.00,112486,0.00,1675019
8,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,32.48,2128363,nan,nan,nan,nan,nan,nan,0,0,0,58.14,0.00,0,0.00,0,0,0,nan,0,0.00,114683,0.00,1715810
9,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,5298450372818021434,34.44,2256963,nan,nan,nan,nan,nan,nan,0,0,0,55.61,0.00,0,0.00,0,0,0,nan,0,0.00,131748,0.00,1957029
0,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,18.25,1196099,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196099,0.00,0
1,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,20.22,1325420,nan,nan,nan,nan,nan,nan,0,0,0,73.93,0.00,0,0.00,0,0,0,nan,0,0.00,131694,0.00,1993771
2,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,22.03,1443769,nan,nan,nan,nan,nan,nan,0,0,0,71.60,0.00,0,0.00,0,0,0,nan,0,0.00,121248,0.00,1809121
3,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,23.82,1560787,nan,nan,nan,nan,nan,nan,0,0,0,69.30,0.00,0,0.00,0,0,0,nan,0,0.00,119901,0.00,1790250
