t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,10,stock,0,92,0,396,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5096,8503,49,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,6,0,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,6,order,0,33,47,29,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,1,district,0,32194,0,28999,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,8752,0,17048,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,2,customer,0,8,0,9,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,4,history,0,0,0,0,0,0,0,0,0,0
16,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,15.888,1041236,100,0,0,0,0,0,0,0,0,59.0389,0,0,0,5603236,0,0,14.9883,0,0,0,54128,0,797692,77049.4,64812.1,842.769,170.281,431.371,18796.7,0.841175,14.9883,4.09909,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,189,105,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,10,stock,0,120,0,361,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5573,8084,41,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,7,1,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,6,order,0,45,50,29,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,1,district,0,31753,0,29070,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,8605,0,16958,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,2,customer,0,7,0,10,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,0,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,4,history,0,0,0,0,0,0,0,0,0,0
17,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,16.6902,1093810,100,0,0,0,0,0,0,0,0,56.9706,0,0,0,5553865,0,0,14.9884,0,0,0,53590,0,793461,77457.7,64854.3,844.807,171.765,432.803,18897,0.837286,14.9884,4.09895,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,251,125,0,0,0,0,0,0
18,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,17.4886,1146134,100,0,0,0,0,0,0,0,0,54.9122,0,0,0,4189287,0,0,14.862,0,0,0,53338,0,787436,77386.3,64957.3,844.092,174.947,438.253,18881.1,0.83939,14.862,4.09861,0,0,0,0,0,0,0,0,0,0,10,stock,0,108,0,369,0,0,0,0,0,0
18,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,17.4886,1146134,100,0,0,0,0,0,0,0,0,54.9122,0,0,0,4189287,0,0,14.862,0,0,0,53338,0,787436,77386.3,64957.3,844.092,174.947,438.253,18881.1,0.83939,14.862,4.09861,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
18,15,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,15,0,17.4886,1146134,100,0,0,0,0,0,0,0,0,54.9122,0,0,0,4189287,0,0,14.862,0,0,0,53338,0,787436,77386.3,64957.3,844.092,174.947,438.253,18881.1,0.83939,14.862,4.09861,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5195,8574,42,0,0,0,0,0,0
