t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
58,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127468,0,0,119.925,0,0,0,0,0,297386335,1068.42,2176.06,0.496816,0.385415,405.586,2.0367,119.925,2.63427,0,contention,0,212750,0,0,0,0,0
59,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78329,100,0,0,0,0,0,0,0,0,81.6098,0,18446744073709551545,0,127741,0,0,119.92,0,0,0,0,0,296476191,1074.63,2176.75,0.507285,0.387613,406.884,2.02557,119.92,2.64113,0,contention,0,277975,0,0,0,0,0
0,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,1998379,0,0,2.03017,0,0,0,116795,0,289,772.557,835.761,28.0969,5.2872,2462.37,1.08181,2.03017,0.313746,0,contention,0,79,0,0,0,0,0
1,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,176034,0,0,119.221,0,0,0,0,0,122300859,1770.83,2310.14,3.62361,0.655393,981.578,1.30455,119.221,1.80407,0,contention,0,3961225,0,0,0,0,0
2,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,173978,0,0,119.91,0,0,0,0,0,136376250,1703.97,2303.74,3.58589,0.676633,883.304,1.35198,119.91,1.92909,0,contention,0,4436761,0,0,0,0,0
3,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,143470,0,0,119.927,0,0,0,0,0,181737837,1785.61,2308.68,3.57788,0.658488,662.657,1.29293,119.927,2.69462,0,contention,0,6038439,0,0,0,0,0
4,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,138605,0,0,119.926,0,0,0,0,0,186260327,1776.62,2299.84,3.51864,0.642316,646.598,1.2945,119.926,2.74765,0,contention,0,5546885,0,0,0,0,0
5,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,138536,0,0,119.924,0,0,0,0,0,184716348,1791.95,2304.09,3.53776,0.6502,652.002,1.2858,119.924,2.74838,0,contention,0,5864278,0,0,0,0,0
6,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,139524,0,0,119.917,0,0,0,0,0,187053192,1767.41,2279.85,3.49567,0.636299,643.794,1.28993,119.917,2.74531,0,contention,0,5730029,0,0,0,0,0
7,120,1,10,1,6,10,1,0,60,0,0,0,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,138438,0,0,119.92,0,0,0,0,0,185985053,1776.61,2301.71,3.51231,0.642848,648.003,1.29556,119.92,2.74166,0,contention,0,5689217,0,0,0,0,0
