t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
14,merge,4954205518123341369,4215674683.17,5685088.95,2585172113.10,33058752.17,17636652.17,21005095.51,1000223778.00,0.61,1.00,4.21
15,merge,4954205518123341369,4246315573.69,5447850.75,2546584188.65,30751055.60,16792199.71,21306562.09,1000139472.00,0.60,1.00,4.25
16,merge,4954205518123341369,4253957718.29,5306549.55,2528017680.78,29872692.19,16493122.28,21325338.34,1000215106.00,0.59,1.00,4.25
17,merge,4954205518123341369,4233341573.82,5397257.28,2511632072.14,29371072.77,16391515.23,21254123.97,1000283042.00,0.59,1.00,4.23
18,merge,4954205518123341369,4253392234.46,5382263.62,2512778095.34,29286751.73,16431594.87,21322803.85,1000241325.00,0.59,1.00,4.25
19,merge,4954205518123341369,4201543516.81,5299241.54,2490700284.84,29067589.55,16346478.69,21167215.49,1000217856.00,0.59,1.00,4.20
20,merge,4954205518123341369,4205878142.96,5489622.66,2474628204.08,28832632.99,16524682.23,21025028.16,1000209401.00,0.59,1.00,4.20
21,merge,4954205518123341369,4197888657.05,5466073.11,2477142683.36,28824080.76,16394734.90,21033371.36,1000169163.00,0.59,1.00,4.20
22,merge,4954205518123341369,4243389496.60,5411188.37,2509965985.19,29207146.18,16305564.12,21309272.63,1000259075.00,0.59,1.00,4.24
23,merge,4954205518123341369,4226349235.56,5380367.69,2500262376.79,29083843.68,16248321.20,21255703.71,1000313255.00,0.59,1.00,4.23
24,merge,4954205518123341369,4268280208.18,5468721.65,2523004085.76,29359528.10,16479002.89,21425863.32,1006971480.00,0.59,1.00,4.24
25,merge,4954205518123341369,4222666097.91,5358466.95,2505786806.19,29143387.25,16307931.43,21261384.45,1000243717.00,0.59,1.00,4.22
26,merge,4954205518123341369,4207048305.64,5434321.92,2478650506.06,28840195.75,16572517.10,21047781.61,1000306163.00,0.59,1.00,4.21
27,merge,4954205518123341369,4204340229.36,5462147.58,2493033590.80,28987391.90,16352783.91,21169398.04,1000295908.00,0.59,1.00,4.20
28,merge,4954205518123341369,4214846522.61,5425774.35,2498467650.07,29072252.96,16380969.70,21215165.53,1000169144.00,0.59,1.00,4.21
29,merge,4954205518123341369,4246584228.12,5501938.16,2507969452.05,29196763.86,16537696.20,21289864.19,1007033626.00,0.59,1.00,4.22
30,merge,4954205518123341369,4209336014.97,5474429.69,2484171912.94,28939806.05,16471701.78,21066907.89,1000214941.00,0.59,1.00,4.21
31,merge,4954205518123341369,4218902724.62,5446867.16,2496208144.57,29047327.94,16425903.77,21220240.57,1000195995.00,0.59,1.00,4.22
32,merge,4954205518123341369,4188276358.46,5556205.34,2461179648.74,28694402.21,16658137.46,20919234.78,1000294339.00,0.59,1.00,4.19
33,merge,4954205518123341369,4220294699.73,5447146.02,2489118501.17,28985600.80,16372720.05,21174366.21,1000263927.00,0.59,1.00,4.22
34,merge,4954205518123341369,4268184123.24,5484378.62,2526015395.56,29403559.16,16398007.90,21447583.08,1007091714.00,0.59,1.00,4.24
35,merge,4954205518123341369,4240346160.24,5314484.93,2508520042.40,29164399.28,16328810.40,21291112.19,1000283469.00,0.59,1.00,4.24
36,merge,4954205518123341369,4225933759.48,5373602.26,2504984271.84,29150452.23,16322603.85,21270774.62,1000259319.00,0.59,1.00,4.22
37,merge,4954205518123341369,543021681.61,345973198.99,669330662.96,6258918.59,4042137.80,1005314.73,129727390.00,1.23,0.13,4.19
17,merge,5949237985316970058,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
18,merge,5949237985316970058,4205765387.70,397800683.19,4351793445.58,112887870.15,36107403.87,16200603.78,1000293455.00,1.03,1.00,4.20
19,merge,5949237985316970058,4227331327.07,85054925.43,4259956669.90,109574678.16,34871233.98,17913732.64,1000290839.00,1.01,1.00,4.23
20,merge,5949237985316970058,4220048831.12,10580964.17,3783661408.45,86835323.59,29728092.48,18691738.04,1000323187.00,0.90,1.00,4.22
21,merge,5949237985316970058,4229313322.33,6094756.33,3094942223.10,54392531.00,22110781.54,19511853.13,1000308771.00,0.73,1.00,4.23
22,merge,5949237985316970058,4239566485.11,5853259.03,2730520113.03,36644932.74,17968418.66,19963039.14,1000295425.00,0.64,1.00,4.24
23,merge,5949237985316970058,4222392529.53,5975645.49,2612830563.14,31179093.16,16693463.40,19961421.26,1000218363.00,0.62,1.00,4.22
24,merge,5949237985316970058,4207012388.39,6071826.74,2554149464.84,29345579.47,16611313.66,19785029.11,1000301885.00,0.61,1.00,4.21
25,merge,5949237985316970058,4232990692.50,5795191.51,2577990433.29,29213537.03,16200302.65,20061781.39,1000313439.00,0.61,1.00,4.23
26,merge,5949237985316970058,4223486016.64,5782394.40,2571015897.67,29018734.17,16098873.83,20025482.30,1000248517.00,0.61,1.00,4.22
27,merge,5949237985316970058,4259326429.05,5797878.10,2587339487.61,29113369.04,16274277.64,20156190.41,1006973089.00,0.61,1.00,4.23
28,merge,5949237985316970058,4233357451.61,5737528.99,2573770162.06,28973287.42,16123594.76,20060832.67,1000293890.00,0.61,1.00,4.23
29,merge,5949237985316970058,4233104099.74,5942672.78,2569131471.22,28919751.61,16113636.88,20026163.99,1000292777.00,0.61,1.00,4.23
30,merge,5949237985316970058,4215391545.67,5886528.06,2548970890.64,28604512.55,16364315.70,19854239.78,1000242742.00,0.60,1.00,4.21
31,merge,5949237985316970058,4227166364.59,5789390.14,2565394361.55,28848152.75,16167009.23,19997991.24,1000307608.00,0.61,1.00,4.23
32,merge,5949237985316970058,4229358713.46,5403680.43,2573936106.39,28897187.81,16058582.96,20036894.32,1000336687.00,0.61,1.00,4.23
33,merge,5949237985316970058,4231448635.25,5655466.12,2573318610.09,28869928.44,16073807.66,20014739.66,1000329786.00,0.61,1.00,4.23
34,merge,5949237985316970058,4231841933.72,5609695.73,2575426728.71,28925049.71,16104281.56,20058607.25,1000371609.00,0.61,1.00,4.23
35,merge,5949237985316970058,4264851441.04,5745578.84,2592044798.40,29103590.60,16262350.33,20149841.83,1006741856.00,0.61,1.00,4.24
36,merge,5949237985316970058,4211066622.28,5761248.64,2545022488.87,28587597.73,16406821.29,19801695.76,1000259534.00,0.60,1.00,4.21
37,merge,5949237985316970058,4214585095.83,5571257.02,2555784962.30,28735902.98,16110223.06,19947055.16,1000296433.00,0.61,1.00,4.21
38,merge,5949237985316970058,4226589793.68,5491627.03,2571232758.55,28869963.16,16086786.74,20016658.41,1000258180.00,0.61,1.00,4.23
39,merge,5949237985316970058,4234072851.24,5477393.56,2569252291.22,28817526.49,16172212.18,19976581.02,1000328706.00,0.61,1.00,4.23
40,merge,5949237985316970058,4245381363.57,5684212.77,2576635184.51,28945148.98,16284850.09,20084299.32,1006797633.00,0.61,1.00,4.22
41,merge,5949237985316970058,4218974621.93,5684374.31,2565633860.14,28816180.62,16135855.60,19988399.68,1000160536.00,0.61,1.00,4.22
42,merge,5949237985316970058,4200529721.23,5798974.46,2544868810.46,28524987.40,16334866.56,19785876.02,1000227043.00,0.61,1.00,4.20
43,merge,5949237985316970058,4231859499.41,5686065.50,2573899071.28,28895423.58,16121676.84,20046905.74,1000238037.00,0.61,1.00,4.23
44,merge,5949237985316970058,4230762597.30,5688505.75,2571562397.42,28872405.57,16194297.08,20021923.73,1000225219.00,0.61,1.00,4.23
45,merge,5949237985316970058,4276052355.03,5796871.39,2589013227.74,29088954.56,16281281.27,20137759.04,1006967451.00,0.61,1.00,4.25
46,merge,5949237985316970058,4229611647.84,5731042.44,2572684971.69,28862350.81,16167949.62,20016144.98,1000300503.00,0.61,1.00,4.23
47,merge,5949237985316970058,2782880107.66,380693707.91,2000818634.25,21341409.95,12345037.40,11541588.91,653893867.00,0.72,0.65,4.26
2,merge,8725824349430506241,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3,merge,8725824349430506241,4227689886.13,8797482.92,3043008464.20,52373620.12,23209984.63,26361437.12,1000212113.00,0.72,1.00,4.23
4,merge,8725824349430506241,4242588415.04,5558706.57,2643898014.51,35354966.19,19379170.87,26027217.54,1000254403.00,0.62,1.00,4.24
5,merge,8725824349430506241,4237414174.42,5563051.77,2643787277.49,35337272.64,19094509.89,26040440.73,1000167346.00,0.62,1.00,4.24
6,merge,8725824349430506241,4220798195.41,5575116.28,2597482429.82,34745280.51,19340923.25,25568414.13,1000171576.00,0.62,1.00,4.22
7,merge,8725824349430506241,4254172397.03,5525792.43,2647897597.55,35385880.50,19356790.43,26123203.30,1000223791.00,0.62,1.00,4.25
8,merge,8725824349430506241,4242966190.36,5500836.64,2644676353.58,35371061.61,19436931.80,26073337.21,1000314886.00,0.62,1.00,4.24
9,merge,8725824349430506241,4242201315.17,5642054.95,2643604332.44,35362312.15,19117557.68,26062266.08,1000197211.00,0.62,1.00,4.24
10,merge,8725824349430506241,4231365307.97,5566174.40,2637190546.39,35196632.61,19058555.37,25984215.19,1000277044.00,0.62,1.00,4.23
11,merge,8725824349430506241,4215462298.51,5533499.73,2634916449.82,35201283.34,19096888.05,25939244.87,1000282238.00,0.63,1.00,4.21
12,merge,8725824349430506241,4206468921.60,5703427.88,2586300709.19,34588256.01,19266478.33,25465188.71,1000228538.00,0.61,1.00,4.21
13,merge,8725824349430506241,4213935622.15,5673344.98,2622414963.26,35031593.61,19163036.96,25859625.99,1000227927.00,0.62,1.00,4.21
14,merge,8725824349430506241,4214013999.77,5603310.42,2625300266.74,35051520.89,19235961.73,25901087.60,1000296954.00,0.62,1.00,4.21
15,merge,8725824349430506241,4202279667.09,5646264.73,2622470284.91,34989709.75,19212419.03,25808945.81,1000244040.00,0.62,1.00,4.20
16,merge,8725824349430506241,4229253291.88,5633569.19,2626690583.95,34971327.08,19297246.41,25918622.96,1000227888.00,0.62,1.00,4.23
17,merge,8725824349430506241,4234540157.06,5539649.98,2638493488.28,35169252.03,19382997.64,26013873.63,1000205514.00,0.62,1.00,4.23
18,merge,8725824349430506241,4206762477.47,5735266.76,2591788753.62,34539999.03,19438441.36,25553088.03,1000214893.00,0.62,1.00,4.21
19,merge,8725824349430506241,4218375047.53,5541377.40,2630122535.19,35019957.85,19179385.72,25916646.35,1000224619.00,0.62,1.00,4.22
20,merge,8725824349430506241,4232358481.55,5389138.00,2639346233.70,35158373.81,19327469.74,26033177.64,1000307125.00,0.62,1.00,4.23
21,merge,8725824349430506241,4217626421.48,5511174.10,2632120601.09,35081422.87,19381584.18,25923698.34,1000145755.00,0.62,1.00,4.22
22,merge,8725824349430506241,4215340594.54,5510489.14,2612905128.94,34809582.00,19166821.26,25749536.02,1000237310.00,0.62,1.00,4.21
23,merge,8725824349430506241,4219386460.39,5540126.63,2627147549.77,35059291.77,19208935.01,25910092.25,1000231805.00,0.62,1.00,4.22
24,merge,8725824349430506241,4201467983.08,5603203.42,2581252284.17,34414055.78,19456357.17,25485911.44,1000239477.00,0.61,1.00,4.20
25,merge,8725824349430506241,4214471675.10,5522608.13,2623551764.89,35019478.59,19441673.14,25854047.77,1000273943.00,0.62,1.00,4.21
26,merge,8725824349430506241,4218601634.42,5738361.55,2624718735.33,35071384.49,19341827.99,25892868.62,1000295440.00,0.62,1.00,4.22
27,merge,8725824349430506241,4248209184.52,5607089.03,2640206280.47,35259607.19,19341309.53,26007959.50,1006799373.00,0.62,1.00,4.22
28,merge,8725824349430506241,4227228368.05,5463322.45,2635681983.20,35235475.97,19359990.04,26012715.39,1000150453.00,0.62,1.00,4.23
29,merge,8725824349430506241,4230564343.50,5415110.40,2646786900.09,35312611.90,19427705.45,26071603.07,1000112058.00,0.63,1.00,4.23
30,merge,8725824349430506241,4205090053.00,5590228.85,2581513963.34,34526784.04,19476947.78,25452329.45,1000182948.00,0.61,1.00,4.20
31,merge,8725824349430506241,4225338506.16,5512403.75,2626240194.96,35078670.86,19185019.76,25898603.69,1000154316.00,0.62,1.00,4.22
32,merge,8725824349430506241,2653966615.44,55000646.27,1695922765.93,22282532.99,12061671.58,16132435.70,624591298.00,0.64,0.62,4.25
3,merge,9056254927689675874,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4,merge,9056254927689675874,4261180761.52,41297825.31,3248906282.38,60465084.93,23915459.35,26084945.79,1006878251.00,0.76,1.00,4.23
5,merge,9056254927689675874,4229547110.15,7498385.62,2666496914.92,34985355.22,19002516.72,25242944.16,1000064316.00,0.63,1.00,4.23
