t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
34,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,87.4928,1.05788,11.4493,9.47439,0.398538,4.92825,581128,613,613,1.00708,65.9827,78,57.0569,53904,214603,213198,102.444,1.05244,41,56.9945,3,57.0881,2734969,122707,13810.6,100.82,12.043,37624.3,0.11255,102.444,3.26137,0,0,0,0,0,0,0,0,0,0,0,latest,3659,483492,0,0,3,3,0,0,3,3
35,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731941,99.9719,0.00154336,0.0265933,0.0100912,0.472744,6.37421,775138,3,3,1.00865,62.9662,78,0.0468063,224955,242220,239514,114.295,0.0155524,1,0.0468063,3,0,2498405,148081,12518,98.2635,11.1454,45977.6,0.0845352,114.295,3.22071,0,0,0,0,0,0,0,0,0,0,0,latest,0,351787,0,0,3,4,0,0,0,1
36,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,87.3824,1.17915,11.4384,9.41709,0.954916,5.40864,671490,1040,1040,1.00865,63.764,78,57.0881,218222,218441,216315,97.6132,1.24742,91,56.9945,2,57.1037,2426432,129206,18148.8,98.3326,11.5841,40419.7,0.140463,97.6132,3.19662,0,0,0,0,0,0,0,0,0,0,0,latest,3660,1291158,0,0,2,3,0,0,0,3
37,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,99.9905,0.000588499,0.00894519,0.0028248,0.499989,6.6019,793310,1,1,1.0118,68.727,78,0.0156021,207892,254332,252659,117.1,0.00576729,0,0.0156021,1,0,2633488,139774,11853.1,101.689,10.7226,44692.1,0.0848023,117.1,3.12748,0,0,0,0,0,0,0,0,0,0,0,latest,0,326321,0,0,1,15,0,0,0,2
38,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,88.0522,1.07249,10.8753,8.99613,0.575832,5.63623,653259,786,786,1.00708,64.8985,78,57.0569,87780,236313,234538,97.6625,1.16931,79,57.0257,3,57.0881,2997794,105287,11403.2,101.136,11.1418,32747,0.108305,97.6625,3.21517,0,0,0,0,0,0,0,0,0,0,0,latest,3659,516862,0,0,3,2,0,0,0,2
39,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9726,0.000678273,0.0266788,0.0200091,0.4636,6.23254,732433,1,1,1.00865,62.4658,78,0.0156021,155486,249008,246444,116.89,0.00633055,1,0.0156021,1,0,2911436,130643,11470.3,90.2743,10.4651,40347,0.087799,116.89,3.23798,0,0,0,0,0,0,0,0,0,0,0,latest,0,440697,0,0,1,6,0,0,0,1
40,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,86.8123,1.26484,11.9228,9.85372,1.61083,5.02681,640184,1010,1010,1.00865,59.6334,78,57.1037,199199,206965,204953,96.868,1.24561,90,57.0413,3,57.1037,2309414,136233,17273,101.369,12.1755,42161,0.12679,96.868,3.23125,0,0,0,0,0,0,0,0,0,0,0,latest,3660,1647796,0,0,3,4,0,0,0,3
41,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731941,99.9321,0.00299662,0.0648923,0.041126,0.491962,6.0324,675629,5,5,1.01495,60.6688,78,0.0780106,36296,260692,259022,114.847,0.022113,2,0.0780106,5,0,3768269,96029.6,9004.19,84.5607,9.93419,30631.2,0.0937647,114.847,3.13503,0,0,0,0,0,0,0,0,0,0,0,latest,0,383070,0,0,5,0,0,0,0,4
42,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,87.2633,1.09061,11.6461,9.58233,1.74265,5.07701,605744,523,523,1.00708,70.1841,78,57.0101,62913,224471,222796,102.501,1.40824,45,56.9321,0,57.1037,2915105,113706,11181,96.4244,11.7727,35337.9,0.0983325,102.501,3.21769,0,0,0,0,0,0,0,0,0,0,0,latest,3660,351473,0,0,0,2,0,0,0,1
43,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,99.9673,0.00200157,0.0307299,0.00977235,0.478727,6.42938,775941,3,3,1.0118,65.2699,78,0.0468063,212172,250843,248068,117.643,0.0197802,0,0.0468063,3,0,2705902,143363,12179.2,89.8164,10.6395,43707.6,0.0849535,117.643,3.28005,0,0,0,0,0,0,0,0,0,0,0,latest,0,355494,0,0,3,5,0,0,0,3
